ACTIVE_ORG_1,ASSET_ID,PROBLEM_ABSTRACT,TICKET_NUMBER,TICKET_OPENED,TICKET_STATE,TICKET_TYPE,ACTIVE_ORG_x,ticket_create,month_create,year_create,ticket,ticket_type,1,2,3,4,5,6,1_2_min,2_3_min,3_4_min,4_5_min,5_6_min,first_Esc_date,Last_Esc_date,total_wt,Escalation_cnt,TICKET_OPENED_DATE,TICKET_CLOSED_DATE,TICKET_CLEARED_DATE,LAST_MODIFIED_DATE,TOD,SEVERITY,SEVERITY_CLASSIFICATION,CLIENT_NAME,LOCATION_ADDRESS_1,LOCATION_CITY,LOCATION_STATE_PROVINCE,LOCATION_ZIPPOSTAL,Client_Ticket,Clientticket,MCN,ORG_GROUP,ACTIVE_ORG_y,TICKET_CATEGORY,TICKET_TYPE_DESC_TX,RESOLUTION_TEXT,ROOT_CAUSE_DESC_TX,TROUBLE_REPT_DESC_TX,SA_TOUCHED,Tech_Touched_All,UPDATE_FLAG,Financial_Srvc,GOLIATH_Initial_Root_Cause,uno,open_fitst_min
VIRTL-DS1,  DXEC700542   ATI ,Express Ticketing: Circuit is bouncing.,272830204,1/1/2020 6:26,Closed,24,VIRTL-DS1,1/1/2020 6:26,1,2020,,,,,,,,,,,,,,,,,,1/1/2020 6:26,1/4/2020 14:01,1/2/2020 13:58,1/4/2020 14:01,6,3,,FLORIDA POWER & LIGHT CO,,,FL,,7348889,7348889,SP7728,AV_12346555,VIRTL-DS1,,Web,Any LEC/PTT related outage that is not major (Unscheduled Maint.Emergency Maint.LEC/PTT Power Outage,Access Provider / IXC,Errors,0,0,0,NB-IPVPN,,1,
MO-BGTN-VOIP,SN4TX01BHF10BDSW0,bwDbMonitorDbUnavailable-6-6201:databaseserver:dbMonitor bwDbMonitorDbUnavailable: The DbMonitor process is unable to query the database for performance counters. Fault name: bwDbMonitorDbUnavailable. System name: sn4tx01bhf10bdsw0. Component: databaseser,272830271,1/1/2020 6:27,Closed,1,MO-BGTN-VOIP,1/1/2020 6:27,1,2020,,,,,,,,,,,,,,,,,,1/1/2020 6:27,1/1/2020 7:44,1/1/2020 7:44,1/1/2020 7:44,6,3,,,,,,,,,,VOIP,MO-BGTN-VOIP,,Auto Detect,,Network,Other,0,1,0,VOIP,,1,
US-GNMC-HMC,172.23.100.143,"
[1] .1.3.6.1.4.1.733.6.3.18.1.5.0 (OctetString): ATT-1 
[2] .1.3.6.1.4.1.733.6.3.18.1.6.0 (IpAddress): 172.23.100.143 
[3] .1.0.8802.1.1.2.1.2.2.0 (OctetString): 1600 
[4] .1.0.8802.1.1.2.1.2.3.0 (OctetString): 1851 
[5] .1.0.8802.1.1.2.1.2.4.0 (OctetStr",272830243,1/1/2020 6:27,Cancel,1,US-GNMC-HMC,1/1/2020 6:27,1,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US-GNMC-HMC,172.23.100.32,"
[1] .1.3.6.1.4.1.733.6.3.18.1.5.0 (OctetString): ATT-1 
[2] .1.3.6.1.4.1.733.6.3.18.1.6.0 (IpAddress): 172.23.100.32 
[3] .1.0.8802.1.1.2.1.2.2.0 (OctetString): 832 
[4] .1.0.8802.1.1.2.1.2.3.0 (OctetString): 831 
[5] .1.0.8802.1.1.2.1.2.4.0 (OctetString",272830245,1/1/2020 6:27,Cancel,1,US-GNMC-HMC,1/1/2020 6:27,1,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GF-GCSC-SDN,DKADIATAA840101UJZZ01-EM-RAM,System_EdgeNVSTunnelDown,272830247,1/1/2020 6:28,Closed,8,GF-GCSC-SDN,1/1/2020 6:28,1,2020,272830247,1,1/1/2020 13:31,,,,,,,,,,,1/1/2020 13:31,1/1/2020 13:31,0,1,1/1/2020 6:28,1/1/2020 13:46,1/1/2020 13:45,1/1/2020 13:57,6,3,,Adidas,,,,,INC0386374,INC0386374,,NF_ADAE,GF-GCSC-SDN,,e-Bonding,Came clear without any intervention,Circuit Outage,Other,1,1,0,FLEXWARE,,1,423
GF-GCSC-SDN,USNEWJMJXNJ0101UJZZ01,"Circuit down:AVPN:MLEC.844485..ATI:pingResponseState received for USNEWJMJXNJ0101UJDM01 (2001:1890:e00e:fffe::5a41) from sndnec01 cec01-1.  Device fails to respond to ping.  Wed, 01 Jan 2020 06:25:22 GMT+00:00.  D2 IMPACTS: USNEWJMJXNJ0101UJRT01,pingRespo",272830249,1/1/2020 6:28,Closed,1,GF-GCSC-SDN,1/1/2020 6:28,1,2020,,,,,,,,,,,,,,,,,,1/1/2020 6:28,1/1/2020 8:33,1/1/2020 8:33,1/1/2020 8:39,6,1,,NEW JERSEY NATURAL GAS COMPANY_8310008531845,581 Highland Pkwy S,TOMS RIVER,NJ,8753,,,,NF_NJRC,GF-GCSC-SDN,,Auto Detect,Ckt outage related to LEC/PTT where clear RFO is avail/NOT impacted by CNOC/AIM/WAIM major incident.,Circuit Outage,SNMP,0,0,0,FLEXWARE,,1,
US-GNMC-HMC,172.23.100.125,"
[1] .1.3.6.1.4.1.733.6.3.18.1.5.0 (OctetString): ATT-1 
[2] .1.3.6.1.4.1.733.6.3.18.1.6.0 (IpAddress): 172.23.100.125 
[3] .1.0.8802.1.1.2.1.2.2.0 (OctetString): 652 
[4] .1.0.8802.1.1.2.1.2.3.0 (OctetString): 402 
[5] .1.0.8802.1.1.2.1.2.4.0 (OctetStrin",272830241,1/1/2020 6:27,Cancel,1,US-GNMC-HMC,1/1/2020 6:27,1,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US-GNMC-HMC,172.23.101.24,"
[1] .1.3.6.1.4.1.733.6.3.18.1.5.0 (OctetString): ATT-1 
[2] .1.3.6.1.4.1.733.6.3.18.1.6.0 (IpAddress): 172.23.101.24 
[3] .1.0.8802.1.1.2.1.2.2.0 (OctetString): 3002 
[4] .1.0.8802.1.1.2.1.2.3.0 (OctetString): 2752 
[5] .1.0.8802.1.1.2.1.2.4.0 (OctetStri",272830244,1/1/2020 6:27,Cancel,1,US-GNMC-HMC,1/1/2020 6:27,1,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GF-GCSC-SDN,MXBMWAMCIME0201UJRT01,"BGPSessionState received for MXBMWAMCIME0201UJRT01 (2001:1890:e00e:fffd::7e0:910f) from sndnec01 cec01-2.  peerState is 3, peer local addr=10.204.200.250, peer remote addr=10.204.200.249, peer remote AS=8035.  Wed, 01 Jan 2020 06:24:12 GMT+00:00",272830280,1/1/2020 6:28,Closed,1,GF-GCSC-SDN,1/1/2020 6:28,1,2020,,,,,,,,,,,,,,,,,,1/1/2020 6:28,1/1/2020 8:32,1/1/2020 8:32,2/7/2020 15:43,6,2,,BMW AG_8310008492533,Park Plaza Iii Javier Barros Sierra 495,Mexico City,DF,1376,,,,NF_BMAG,GF-GCSC-SDN,,Auto Detect,Ckt outage related to LEC/PTT where clear RFO is avail/NOT impacted by CNOC/AIM/WAIM major incident.,Circuit Outage,SNMP,0,0,0,FLEXWARE,,1,
MO-BGTN-VOIP,AT4GA03BHD12LSSW0,http://10.10.16.38:80/test.jsp-patrolINET-6-4012 pageStatus:CRITICAL - specific #4012 at4ga03bhd12lssw0.els-an.att.net:Traps Webpage http://10.10.16.38:80/test.jsp reports the following ALARM status code: 0.,272830334,1/1/2020 6:29,Closed,1,MO-BGTN-VOIP,1/1/2020 6:29,1,2020,,,,,,,,,,,,,,,,,,1/1/2020 6:29,1/1/2020 10:08,1/1/2020 10:08,1/1/2020 10:08,6,3,,,,,,,,,,VOIP,MO-BGTN-VOIP,,Auto Detect,,Application,Other,0,1,0,VOIP,,1,
US-GNMC-IPS,0027042EDCBB,AT&T VPN Gateway [  DOWN:SCNCHRIV151          IP:166.184.106.56  MAC:0027042EDCBB      803-231-3521 JONATHAN MORRIS        ],272830329,1/1/2020 6:28,Cancel,1,US-GNMC-IPS,1/1/2020 6:28,1,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
